"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.komanov.serialization.jmh.BooPickleBenchmark.deserialization_events_1k","avgt",1,10,499806.257143,6763.462398,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.deserialization_events_2k","avgt",1,10,954951.963946,7761.805020,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.deserialization_events_4k","avgt",1,10,1607006.020988,21452.779868,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.deserialization_events_64k","avgt",1,10,40181741.360667,799017.304241,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.deserialization_events_8k","avgt",1,10,3973598.022670,35732.756003,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.deserialization_site_1k","avgt",1,10,225195.724025,5632.127425,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.deserialization_site_2k","avgt",1,10,410275.953207,8044.120393,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.deserialization_site_4k","avgt",1,10,706285.103564,13078.644254,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.deserialization_site_64k","avgt",1,10,8146087.678160,507960.569292,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.deserialization_site_8k","avgt",1,10,1317292.997772,51584.902998,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.serialization_events_1k","avgt",1,10,1457175.385566,34092.586028,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.serialization_events_2k","avgt",1,10,2726084.818507,29484.447793,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.serialization_events_4k","avgt",1,10,5688127.829506,141913.200960,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.serialization_events_64k","avgt",1,10,142960314.085714,106797.231369,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.serialization_events_8k","avgt",1,10,14427128.967087,775940.734478,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.serialization_site_1k","avgt",1,10,328018.897927,7401.603313,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.serialization_site_2k","avgt",1,10,613758.768602,18744.055733,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.serialization_site_4k","avgt",1,10,1106272.015436,17854.278096,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.serialization_site_64k","avgt",1,10,18863218.972331,1169287.691864,"ns/op"
"com.komanov.serialization.jmh.BooPickleBenchmark.serialization_site_8k","avgt",1,10,2180342.591971,52519.176909,"ns/op"
"com.komanov.serialization.jmh.ChillBenchmark.deserialization_events_1k","avgt",1,10,3678046.614071,106956.517243,"ns/op"
